time_s,x_m,y_m,dist_to_goal_m
14.483,-0.0053,0.0221,3.4088
14.514,-0.0056,0.0227,3.4088
14.53,-0.0055,0.0225,3.4088
14.57,-0.0065,0.0234,3.4093
14.583,-0.0081,0.0243,3.4102
14.611,-0.0065,0.0234,3.4093
14.639,-0.01,0.0255,3.4113
14.696,-0.0091,0.0249,3.4108
14.729,-0.0121,0.027,3.4124
14.771,-0.0115,0.0266,3.4121
14.8,-0.015,0.0291,3.4139
14.826,-0.0139,0.0283,3.4134
14.871,-0.0161,0.0307,3.4142
14.883,-0.0158,0.0303,3.4141
14.908,-0.0173,0.0323,3.4144
14.962,-0.0174,0.0324,3.4145
14.996,-0.0192,0.0338,3.4154
15.023,-0.0189,0.0336,3.4152
15.038,-0.0204,0.0346,3.416
15.063,-0.0214,0.0354,3.4165
15.094,-0.0206,0.0347,3.4162
15.164,-0.0226,0.0367,3.417
15.179,-0.0221,0.0361,3.4168
15.205,-0.0242,0.0386,3.4174
15.249,-0.0241,0.0385,3.4174
15.304,-0.0255,0.0413,3.4173
15.343,-0.0251,0.0405,3.4173
15.37,-0.0261,0.0431,3.417
15.388,-0.0259,0.0426,3.4171
15.443,-0.0283,0.0443,3.4183
15.474,-0.0274,0.0438,3.4178
15.515,-0.0293,0.0455,3.4187
15.542,-0.0292,0.0428,3.4199
15.576,-0.03,0.043,3.4205
15.59,-0.0291,0.0425,3.4199
15.619,-0.0311,0.0443,3.4208
15.665,-0.0307,0.0433,3.4209
15.703,-0.0323,0.047,3.4205
15.728,-0.0322,0.0467,3.4206
15.762,-0.033,0.0501,3.4197
15.808,-0.0333,0.0507,3.4197
15.831,-0.0324,0.0532,3.4177
15.862,-0.0325,0.0529,3.4179
15.884,-0.0329,0.056,3.4168
15.905,-0.0308,0.0575,3.4143
15.945,-0.0327,0.0564,3.4165
15.987,-0.0293,0.0568,3.4133
16.015,-0.0291,0.0577,3.4126
16.063,-0.027,0.0553,3.412
16.105,-0.0272,0.0553,3.4121
16.122,-0.0284,0.057,3.4124
16.163,-0.0299,0.0577,3.4134
16.175,-0.0282,0.0568,3.4123
16.233,-0.0299,0.0577,3.4134
16.26,-0.0296,0.0621,3.4111
16.279,-0.0298,0.061,3.4117
16.311,-0.0302,0.0639,3.4107
16.36,-0.0301,0.0638,3.4107
16.388,-0.0307,0.0634,3.4114
16.415,-0.0306,0.0635,3.4113
16.444,-0.0324,0.0629,3.4131
16.463,-0.0322,0.0626,3.4131
16.48,-0.0326,0.0625,3.4135
16.528,-0.0323,0.0633,3.4129
16.562,-0.0323,0.063,3.413
16.582,-0.0322,0.064,3.4124
16.641,-0.0322,0.0639,3.4125
16.674,-0.0322,0.0643,3.4123
16.716,-0.0322,0.0643,3.4123
16.743,-0.0324,0.0641,3.4125
16.787,-0.0324,0.0641,3.4126
16.824,-0.0326,0.0639,3.4128
16.844,-0.0325,0.0639,3.4128
16.865,-0.0325,0.064,3.4126
16.908,-0.0324,0.064,3.4126
16.935,-0.0324,0.0644,3.4124
16.971,-0.0324,0.0645,3.4124
16.988,-0.0314,0.065,3.4113
17.012,-0.0313,0.0655,3.4109
17.038,-0.0315,0.0652,3.4113
