frame_index,video_time_s,episode_time_s,source_receipt_unix_ns,source_header_ns,hold_age_s
175,11.666666666666666,11.666666667000001,1789314481385920525,1789314481317888975,0.058235038
176,11.733333333333333,11.733333333000001,1789314481507088294,1789314481463894659,0.0037339350000000003
177,11.8,11.8,1789314481507088294,1789314481463894659,0.070400602
178,11.866666666666667,11.866666667,1789314481634849120,1789314481557758718,0.009306443000000001
179,11.933333333333334,11.933333333,1789314481691486311,1789314481599545224,0.019335918
180,12.0,12.0,1789314481734843359,1789314481665952849,0.042645537000000004
181,12.066666666666666,12.066666667000002,1789314481812371771,1789314481735516536,0.031783792000000005
182,12.133333333333333,12.133333333000001,1789314481874088540,1789314481804436778,0.036733689
183,12.2,12.200000000000001,1789314481969491041,1789314481873451721,0.007997855
184,12.266666666666667,12.266666667,1789314482032467618,1789314481944954510,0.011687945
185,12.333333333333334,12.333333333,1789314482080787708,1789314482023660993,0.030034521
186,12.4,12.4,1789314482139663805,1789314482093420915,0.037825091000000005
187,12.466666666666667,12.466666667,1789314482240482997,1789314482170821455,0.0036725660000000004
188,12.533333333333333,12.533333333000002,1789314482298906107,1789314482234869334,0.011916122000000001
189,12.6,12.600000000000001,1789314482341163899,1789314482297453853,0.036324997000000005
190,12.666666666666666,12.666666667000001,1789314482417797682,1789314482364062162,0.026357881000000003
191,12.733333333333333,12.733333333000001,1789314482487880111,1789314482435672792,0.022942118
192,12.8,12.8,1789314482575849908,1789314482507018266,0.001638988
193,12.866666666666667,12.866666667,1789314482630164863,1789314482572073925,0.0139907
194,12.933333333333334,12.933333333,1789314482704686050,1789314482653715468,0.006136179
195,13.0,13.0,1789314482774171761,1789314482716623261,0.003317135
196,13.066666666666666,13.066666667000002,1789314482774171761,1789314482716623261,0.069983802
197,13.133333333333333,13.133333333000001,1789314482844579704,1789314482789001479,0.06624252500000001
198,13.2,13.200000000000001,1789314482912396877,1789314482856876931,0.065092019
199,13.266666666666667,13.266666667,1789314482985575871,1789314482928135066,0.058579692
200,13.333333333333334,13.333333333,1789314483074689932,1789314483015416034,0.036132297
201,13.4,13.4,1789314483138315215,1789314483068159510,0.039173681
202,13.466666666666667,13.466666667,1789314483204566121,1789314483145733625,0.039589442
203,13.533333333333333,13.533333333000002,1789314483265074708,1789314483209437446,0.045747521000000006
204,13.6,13.600000000000001,1789314483330433721,1789314483281699635,0.047055175000000005
205,13.666666666666666,13.666666667000001,1789314483401328659,1789314483346092986,0.042826904000000006
206,13.733333333333333,13.733333333000001,1789314483473485586,1789314483419961400,0.037336643
207,13.8,13.8,1789314483545292675,1789314483491790636,0.032196221000000004
208,13.866666666666667,13.866666667,1789314483612478455,1789314483556484091,0.031677108
209,13.933333333333334,13.933333333,1789314483693368493,1789314483635716983,0.017453736
210,14.0,14.0,1789314483749457077,1789314483696446303,0.028031819000000003
211,14.066666666666666,14.066666667000002,1789314483822105556,1789314483769267701,0.022050007
212,14.133333333333333,14.133333333000001,1789314483889608146,1789314483835224392,0.021214083
213,14.2,14.200000000000001,1789314483960601209,1789314483906186507,0.016887687000000002
214,14.266666666666667,14.266666667,1789314484043258734,1789314483976686385,0.000896829
215,14.333333333333334,14.333333333,1789314484110592456,1789314484054613337,0.000229773
216,14.4,14.4,1789314484169480500,1789314484117433030,0.008008396000000001
217,14.466666666666667,14.466666667,1789314484169480500,1789314484117433030,0.074675063
218,14.533333333333333,14.533333333000002,1789314484253331900,1789314484192179369,0.05749032900000001
219,14.6,14.600000000000001,1789314484370211166,1789314484324613434,0.0072777300000000005
220,14.666666666666666,14.666666667000001,1789314484370211166,1789314484324613434,0.07394439700000001
221,14.733333333333333,14.733333333000001,1789314484471839768,1789314484395008997,0.038982461
222,14.8,14.8,1789314484534661350,1789314484464861353,0.042827546
223,14.866666666666667,14.866666667,1789314484583748785,1789314484538127562,0.060406778
224,14.933333333333334,14.933333333,1789314484675124688,1789314484607897795,0.035697541
225,15.0,15.000000000000002,1789314484727314929,1789314484677258759,0.050173967
226,15.066666666666666,15.066666667000002,1789314484805184076,1789314484750544715,0.038971487
227,15.133333333333333,15.133333333000001,1789314484869887215,1789314484814175522,0.040935014000000006
228,15.2,15.200000000000001,1789314484946790443,1789314484892096291,0.030698453
229,15.266666666666667,15.266666667,1789314485011589594,1789314484955175699,0.032565969
230,15.333333333333334,15.333333333,1789314485085983136,1789314485030743356,0.024839093000000003
231,15.4,15.4,1789314485167765130,1789314485101750184,0.009723766
232,15.466666666666667,15.466666667,1789314485234242280,1789314485174892075,0.009913283
233,15.533333333333333,15.533333333000002,1789314485287484712,1789314485234134874,0.023337517000000002
234,15.6,15.600000000000001,1789314485360752379,1789314485304871011,0.016736517
235,15.666666666666666,15.666666667000001,1789314485360752379,1789314485304871011,0.083403184
236,15.733333333333333,15.733333333000001,1789314485500207815,1789314485454104170,0.010614414
237,15.8,15.8,1789314485570549565,1789314485515678536,0.006939331000000001
238,15.866666666666667,15.866666667,1789314485570549565,1789314485515678536,0.073605998
239,15.933333333333334,15.933333333,1789314485651942228,1789314485589789450,0.058880001
240,16.0,16.0,1789314485711120218,1789314485656999975,0.066368678
241,16.066666666666666,16.066666667,1789314485781542714,1789314485726493359,0.062612849
242,16.133333333333333,16.133333333,1789314485859434057,1789314485801055627,0.051388172
243,16.2,16.2,1789314485945030756,1789314485869714854,0.03245814
244,16.266666666666666,16.266666667000003,1789314485994682992,1789314485939441899,0.049472571
245,16.333333333333332,16.333333333000002,1789314486073824148,1789314486021201807,0.036998081
246,16.4,16.400000000000002,1789314486139232890,1789314486085373812,0.038256006
247,16.466666666666665,16.466666667000002,1789314486211883311,1789314486154991710,0.032272252
248,16.533333333333335,16.533333333,1789314486278005649,1789314486225785857,0.032816580000000005
249,16.6,16.6,1789314486347658272,1789314486288013417,0.029830624000000003
250,16.666666666666668,16.666666667,1789314486407210283,1789314486355914963,0.036945280000000004
251,16.733333333333334,16.733333333,1789314486492534354,1789314486425493432,0.018287875000000002
252,16.8,16.8,1789314486543847181,1789314486493898436,0.033641715
253,16.866666666666667,16.866666667,1789314486622892994,1789314486566017012,0.021262569000000002
254,16.933333333333334,16.933333333,1789314486704584176,1789314486643048099,0.006238053
255,17.0,17.0,1789314486761489635,1789314486704263431,0.015999261
256,17.066666666666666,17.066666667,1789314486833485987,1789314486778163582,0.010669576
257,17.133333333333333,17.133333333,1789314486833485987,1789314486778163582,0.077336242
258,17.2,17.200000000000003,1789314486915484857,1789314486853086171,0.062004039000000004
259,17.266666666666666,17.266666667000003,1789314486979955141,1789314486923183011,0.06420042200000001
260,17.333333333333332,17.333333333000002,1789314487045246035,1789314486988822279,0.065576194
261,17.4,17.400000000000002,1789314487132117171,1789314487062051772,0.045371725
262,17.466666666666665,17.466666667000002,1789314487203583008,1789314487131229600,0.040572555
263,17.533333333333335,17.533333333,1789314487274383414,1789314487205918640,0.036438815
264,17.6,17.6,1789314487336448221,1789314487268771036,0.041040675000000006
265,17.666666666666668,17.666666667,1789314487439001140,1789314487359030453,0.005154423
266,17.733333333333334,17.733333333,1789314487503463986,1789314487403811156,0.007358243
267,17.8,17.8,1789314487566519545,1789314487477669944,0.010969351
268,17.866666666666667,17.866666667,1789314487624950759,1789314487546094457,0.019204804000000002
269,17.933333333333334,17.933333333,1789314487689176614,1789314487620133108,0.021645615
270,18.0,18.0,1789314487753037142,1789314487690474127,0.024451754000000003
271,18.066666666666666,18.066666667,1789314487817782489,1789314487762071405,0.026373074000000003
272,18.133333333333333,18.133333333,1789314487880907945,1789314487826971876,0.029914284000000003
273,18.2,18.200000000000003,1789314487959212399,1789314487899221527,0.018276497000000003
274,18.266666666666666,18.266666667000003,1789314488023754900,1789314487969988905,0.020400663000000003
275,18.333333333333332,18.333333333000002,1789314488095190127,1789314488039110334,0.015632102000000002
276,18.4,18.400000000000002,1789314488167199861,1789314488107731115,0.010289035
277,18.466666666666665,18.466666667000002,1789314488229405281,1789314488187196345,0.014750282000000002
278,18.533333333333335,18.533333333,1789314488300529108,1789314488249539639,0.010293121
279,18.6,18.6,1789314488359509246,1789314488319478576,0.01797965
280,18.666666666666668,18.666666667,1789314488443097666,1789314488399192190,0.0010578970000000001
281,18.733333333333334,18.733333333,1789314488443097666,1789314488399192190,0.067724563
282,18.8,18.8,1789314488541295952,1789314488461009240,0.036192944000000005
283,18.866666666666667,18.866666667,1789314488615325948,1789314488547778650,0.028829615000000003
284,18.933333333333334,18.933333333,1789314488675188665,1789314488617729236,0.035633564
285,19.0,19.0,1789314488723714325,1789314488668809724,0.053774571
286,19.066666666666666,19.066666667,1789314488817645817,1789314488746275366,0.026509746
287,19.133333333333333,19.133333333,1789314488878365797,1789314488816739811,0.032456432
288,19.2,19.200000000000003,1789314488938501188,1789314488882751294,0.038987708
289,19.266666666666666,19.266666667000003,1789314489001251608,1789314488952543876,0.042903955
290,19.333333333333332,19.333333333000002,1789314489076884774,1789314489024668756,0.033937455000000005
291,19.4,19.400000000000002,1789314489154294266,1789314489094786007,0.02319463
292,19.466666666666665,19.466666667000002,1789314489224194816,1789314489173076189,0.019960747
293,19.533333333333335,19.533333333,1789314489285784785,1789314489225463748,0.025037444000000002
294,19.6,19.6,1789314489363406944,1789314489297684887,0.014081952
295,19.666666666666668,19.666666667,1789314489422904065,1789314489364461129,0.021251498
296,19.733333333333334,19.733333333,1789314489497302415,1789314489439621561,0.013519814000000002
297,19.8,19.8,1789314489497302415,1789314489439621561,0.080186481
298,19.866666666666667,19.866666667,1789314489578285490,1789314489512345229,0.065870073
299,19.933333333333334,19.933333333,1789314489652523370,1789314489586109416,0.058298859
300,20.0,20.0,1789314489712112472,1789314489650884758,0.065376424
301,20.066666666666666,20.066666667,1789314489790615449,1789314489730382360,0.05354011400000001
302,20.133333333333333,20.133333333,1789314489844367186,1789314489789506537,0.066455043
303,20.2,20.200000000000003,1789314489913718769,1789314489864853714,0.06377012700000001
304,20.266666666666666,20.266666667000003,1789314490004441282,1789314489937014877,0.039714281000000004
