run,index,kind,category,command_id,target,progress,status,start_unix,end_unix,elapsed_s,observed_nonzero_command_s,observed_zero_command_s,unclassified_macro_s,mean_progress_per_macro_s,first_zero_command_elapsed_s,correction_restarts,command_near_0p5_s,translation_nonzero_ticks,translation_with_yaw_correction_ticks,measured_moving_twist_median_mps,measured_turn_rate_median_radps,matched_moving_twist_samples,command_receipt_to_start_s,terminal_to_result_receipt_s
original5/full-goal-3-006,26,translate,forward,pixnav-94633f177584b50ad84ec977-step-3,0.25,0.26818354835878166,OK,1789300276.0452266,1789300277.352952,1.3077255060006792,1.04641434900077,0.2547876799999358,0.006523476999973354,0.20507633071939363,1.0529378260007434,0,0.20505502099967998,21,21,0.2643777682331508,,21,0.001630544662475586,0.005413055419921875
original5/full-goal-3-006,27,translate,forward,pixnav-b94cc684e555b110001071ef-step-4,0.25,0.26049172364149736,OK,1789300277.513369,1789300278.848603,1.335233836000043,1.0509295609999754,0.24980462599978637,0.03449964900028135,0.19509071491316593,1.0854292100002567,0,0.21299709100003383,21,21,0.262346404459827,,21,0.007272005081176758,0.002151966094970703
original5/full-goal-3-006,28,translate,look_forward_20cm,pixnav-7b0cdcc32eae18b12ab2af7f-step-0,0.20000000298023224,0.20610151108216315,OK,1789300279.2695723,1789300280.5643177,1.2947453450005924,0.949758200999895,0.31679668900051183,0.028190455000185466,0.15918304852609363,0.9779486560000805,0,0.096645374000218,19,19,0.22573295568048804,,19,0.0007522106170654297,0.0484921932220459
original5/full-goal-3-006,29,translate,look_forward_20cm,pixnav-38287de8a3eccdbb14a23196-step-1,0.20000000298023224,0.21676189180463046,OK,1789300280.8762288,1789300282.162293,1.2860640890003197,0.8966886400003204,0.3590230999998312,0.030352349000168033,0.16854672613798222,0.9270409890004885,0,0.10153843599982793,18,18,0.21857561162112332,,18,0.003880739212036133,0.01672196388244629
original5/full-goal-3-006,30,translate,forward,pixnav-b770ab76d645e0cc0a437040-step-2,0.25,0.2689450327170602,OK,1789300282.4434865,1789300283.700224,1.256737439999597,1.005463600999974,0.24331960699964839,0.007954231999974581,0.214002562633247,1.0134178329999486,0,0.19802075999996305,20,20,0.2537238238409691,,20,0.0002715587615966797,0.03704404830932617
original5/full-goal-3-006,31,translate,forward,pixnav-9e085e5b350f5ed1e4b39151-step-3,0.25,0.2646327798308362,OK,1789300283.9727826,1789300285.4021277,1.4293450780005514,1.0521484230002898,0.3513473689999955,0.025849286000266147,0.18514268101095607,1.077997709000556,0,0.2024451589995806,21,21,0.26729826260039674,,21,0.0039255619049072266,0.031071186065673828
original5/full-goal-3-006,32,translate,forward,pixnav-0259178a57c2c6ec5c9da1e4-step-0,0.25,0.2563956509765559,OK,1789300285.8001707,1789300287.2114606,1.4112899049996486,1.0974150000001828,0.3128963949993704,0.0009785100000954117,0.18167468644694923,1.0983935100002782,0,0.24998318199959613,22,22,0.30277656339592085,,22,0.012193679809570312,0.017350435256958008
original5/full-goal-3-006,33,translate,forward,pixnav-cf3ae8f3319a73b0afc95d83-step-1,0.25,0.25099056918959955,OK,1789300287.3953311,1789300288.8631294,1.4677982900002462,1.0979642299998886,0.3655122560003292,0.004321804000028351,0.17099799808974941,1.102286033999917,0,0.24446362100025,22,22,0.2831142498084709,,22,-0.0032689571380615234,0.027583599090576172
original5/full-goal-3-006,34,translate,forward,pixnav-c8bb16748e441d7d6a621683-step-2,0.25,0.24998910877634536,OK,1789300289.0739572,1789300290.550103,1.476145835999887,1.0528176999996504,0.3958241159998579,0.02750402000037866,0.16935258202792133,1.080321720000029,0,0.19998951700017642,21,21,0.2974154875141969,,21,-0.0263826847076416,0.03461909294128418
original5/full-goal-3-006,35,translate,forward,pixnav-e02cdf09f37085b12ffba16b-step-3,0.25,0.26232474219888124,OK,1789300290.7828152,1789300292.1596212,1.3768059909998556,1.0947636390001207,0.2610395029996653,0.021002849000069546,0.19053137763322586,1.1157664880001903,0,0.25768750500083115,22,22,0.26522109556244544,,22,-4.076957702636719e-05,0.06433677673339844
